entry_id,beacon_id,in_time,out_time,rpi_id
7824,27,2016-09-16 16:00:40,2016-09-16 16:01:26,rpi-24
7825,78,2016-09-16 16:01:25,2016-09-16 16:01:25,rpi-28
7826,78,2016-09-16 16:00:30,2016-09-16 16:01:41,rpi-24
7827,69,2016-09-16 16:00:10,2016-09-16 16:01:36,rpi-25
7828,100,2016-09-16 16:01:36,2016-09-16 16:01:36,rpi-29
7829,69,2016-09-16 15:59:56,2016-09-16 16:01:33,rpi-00
7830,69,2016-09-16 16:00:05,2016-09-16 16:01:43,rpi-13
7831,69,2016-09-16 15:59:21,2016-09-16 16:01:43,rpi-01
7832,67,2016-09-16 16:01:43,2016-09-16 16:01:58,rpi-07
7833,69,2016-09-16 16:02:01,2016-09-16 16:02:01,rpi-08
7834,88,2016-09-16 16:02:08,2016-09-16 16:02:08,rpi-14
7835,72,2016-09-16 16:02:04,2016-09-16 16:02:04,rpi-18
7836,69,2016-09-16 16:00:07,2016-09-16 16:02:29,rpi-24
7837,27,2016-09-16 16:02:03,2016-09-16 16:02:28,rpi-24
7838,27,2016-09-16 16:02:30,2016-09-16 16:02:30,rpi-01
7839,67,2016-09-16 16:02:28,2016-09-16 16:02:58,rpi-07
7840,88,2016-09-16 16:02:52,2016-09-16 16:03:00,rpi-19
7841,78,2016-09-16 16:02:57,2016-09-16 16:02:57,rpi-28
7842,69,2016-09-16 16:02:57,2016-09-16 16:03:00,rpi-08
7843,27,2016-09-16 16:03:10,2016-09-16 16:03:10,rpi-24
7844,88,2016-09-16 16:02:59,2016-09-16 16:03:06,rpi-14
7845,78,2016-09-16 16:03:08,2016-09-16 16:03:08,rpi-02
7846,56,2016-09-16 16:02:54,2016-09-16 16:03:16,rpi-02
7847,88,2016-09-16 16:03:22,2016-09-16 16:03:22,rpi-19
7848,72,2016-09-16 16:03:37,2016-09-16 16:03:37,rpi-22
7849,100,2016-09-16 16:03:52,2016-09-16 16:03:52,rpi-29
7850,88,2016-09-16 16:03:33,2016-09-16 16:03:59,rpi-07
7851,88,2016-09-16 16:03:55,2016-09-16 16:04:01,rpi-19
7852,27,2016-09-16 16:03:57,2016-09-16 16:03:57,rpi-01
7853,88,2016-09-16 16:03:36,2016-09-16 16:03:53,rpi-14
7854,67,2016-09-16 16:03:25,2016-09-16 16:04:06,rpi-07
7855,56,2016-09-16 16:04:08,2016-09-16 16:04:08,rpi-02
